day,fee_tier,volume
2024-12-13 00:00:00.000 UTC,5bp,278654944.04052275
2025-03-05 00:00:00.000 UTC,5bp,276512285.5578189
2025-01-11 00:00:00.000 UTC,5bp,80495150.61246593
2021-09-07 00:00:00.000 UTC,5bp,560396216.6601601
2023-08-24 00:00:00.000 UTC,5bp,174747143.10593477
2023-10-08 00:00:00.000 UTC,30bp,5017208.348666878
2023-10-27 00:00:00.000 UTC,30bp,10573336.436724607
2022-09-08 00:00:00.000 UTC,5bp,451115174.8552458
2024-06-28 00:00:00.000 UTC,30bp,18544493.13565218
2024-12-24 00:00:00.000 UTC,5bp,203841119.60578603
2025-01-22 00:00:00.000 UTC,30bp,3917869.9138824465
2022-06-08 00:00:00.000 UTC,30bp,60327724.57454539
2021-05-17 00:00:00.000 UTC,30bp,333838902.82355005
2024-03-14 00:00:00.000 UTC,30bp,18332376.418162428
2021-10-11 00:00:00.000 UTC,30bp,97741454.88775207
2023-12-05 00:00:00.000 UTC,30bp,19064665.34078647
2021-11-04 00:00:00.000 UTC,5bp,387478820.9024733
2023-02-08 00:00:00.000 UTC,30bp,19928122.959799413
2023-09-04 00:00:00.000 UTC,5bp,151515564.2740371
2022-07-07 00:00:00.000 UTC,30bp,47141866.79260481
2024-07-21 00:00:00.000 UTC,5bp,347273511.06500936
2024-07-03 00:00:00.000 UTC,5bp,255757743.93614212
2022-06-11 00:00:00.000 UTC,30bp,93370175.13998774
2024-04-20 00:00:00.000 UTC,5bp,181566545.57941985
2024-04-07 00:00:00.000 UTC,5bp,318795864.68903846
2023-06-30 00:00:00.000 UTC,30bp,29866819.3751351
2022-01-17 00:00:00.000 UTC,30bp,66328320.95025557
2022-05-31 00:00:00.000 UTC,30bp,62575648.351694584
2024-11-30 00:00:00.000 UTC,30bp,27361178.250596814
2023-04-04 00:00:00.000 UTC,30bp,14979390.93352558
2024-02-04 00:00:00.000 UTC,30bp,4222507.814339179
2022-10-15 00:00:00.000 UTC,5bp,191065930.4486732
2021-05-06 00:00:00.000 UTC,30bp,44326958.42287406
2022-11-16 00:00:00.000 UTC,30bp,57419100.6543144
2025-02-20 00:00:00.000 UTC,30bp,16084315.109092908
2023-12-08 00:00:00.000 UTC,5bp,212582919.47103262
2022-01-11 00:00:00.000 UTC,5bp,623723244.3679323
2021-07-03 00:00:00.000 UTC,30bp,84794250.22841889
2022-04-16 00:00:00.000 UTC,5bp,185739553.15437663
2022-10-07 00:00:00.000 UTC,5bp,264008580.38262302
2021-05-19 00:00:00.000 UTC,5bp,312211.66431430826
2024-09-04 00:00:00.000 UTC,30bp,5541164.536266696
2021-10-27 00:00:00.000 UTC,30bp,228660701.1172874
2023-12-21 00:00:00.000 UTC,30bp,15210032.152244383
2024-05-14 00:00:00.000 UTC,5bp,164123406.87977514
2022-03-13 00:00:00.000 UTC,30bp,40423669.50602282
2023-06-17 00:00:00.000 UTC,5bp,113498839.92733505
2021-12-19 00:00:00.000 UTC,30bp,122436327.66616747
2021-07-24 00:00:00.000 UTC,5bp,272821176.29236954
2021-11-20 00:00:00.000 UTC,5bp,509652059.900319
2023-08-27 00:00:00.000 UTC,5bp,86873919.8316844
2023-08-22 00:00:00.000 UTC,5bp,390105001.34540355
2023-08-06 00:00:00.000 UTC,5bp,57106349.275204465
2022-07-20 00:00:00.000 UTC,30bp,125993512.26622978
2021-06-12 00:00:00.000 UTC,5bp,201648497.66793346
2023-10-19 00:00:00.000 UTC,30bp,3835775.180669523
2022-09-13 00:00:00.000 UTC,5bp,677238401.3930597
2024-08-19 00:00:00.000 UTC,30bp,5134227.614697708
2022-10-02 00:00:00.000 UTC,30bp,24156284.64066348
2023-03-01 00:00:00.000 UTC,5bp,375995978.3922242
2022-11-29 00:00:00.000 UTC,30bp,28960091.550854497
2024-09-28 00:00:00.000 UTC,5bp,76951132.44062272
2025-02-09 00:00:00.000 UTC,30bp,26727273.816106148
2023-07-16 00:00:00.000 UTC,30bp,2066169.2452508816
2023-06-01 00:00:00.000 UTC,5bp,183631518.7532983
2021-12-03 00:00:00.000 UTC,5bp,1323006101.1503832
2025-03-18 00:00:00.000 UTC,5bp,130602416.01768404
2022-09-03 00:00:00.000 UTC,30bp,30671674.439153522
2022-06-05 00:00:00.000 UTC,5bp,343532786.27151734
